Timestamp,Have you contributed to OpenTelemetry in the past year?,Please confirm that you read the above,Which of the following categories best describes your current employer?,How long has it been since your first contribution to the OpenTelemetry project?,Which region do you usually live in?,When and where have you contributed to OpenTelemetry in the last year?,What kinds of contributions have you made to OpenTelemetry within the last year?,Have you held any of the following roles in OpenTelemetry within the last year?,What SIGs have you participated in during the past year?
12/13/2024 14:10:02,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,I work for an observability vendor company,Less than 6 months,"EMEA (Europe, Africa and the Middle East)",I am paid by my employer to contribute to the project either full time or part time,"I write or review code contributions, I write or review documentation",I am a triager,
12/16/2024 14:19:52,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,I work for an observability vendor,More than 2 years,"EMEA (Europe, Africa and the Middle East)","I am paid by my employer to contribute to the project either full time or part time, I contribute as an employee to fix problems relevant to my job, but contributing is not my main task","I write or review code contributions, I write or review documentation, I organize surveys, interviews and events, I make other kinds of contributions","I am an OpenTelemetry member, I am a maintainer, Technical Committee member or Governance Committee member","Community Demo Application, Developer Experience"
2/14/2025 17:19:43,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,,,,,,,
2/17/2025 10:37:38,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,I work for an observability vendor,More than 2 years,"EMEA (Europe, Africa and the Middle East)",I am paid by my employer to contribute to the project either full time or part time,"I write or review code contributions, I write or review documentation, I organize surveys, interviews and events, I make other kinds of contributions","I am an OpenTelemetry member, I am a code owner, I am an approver or specification sponsor, I am a maintainer, Technical Committee member or Governance Committee member","Semantic Conventions: System Metrics, Collector, Communications (Website, Documentation, etc.), Contributor Experience"
2/17/2025 10:39:29,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,I work for a software vendor not primarily dedicated to observability,Less than 6 months,"EMEA (Europe, Africa and the Middle East)",I contribute on my own time or during allowed free time at my job,I write or review code contributions,I have not held any of these positions within the last year,Profiling
2/17/2025 10:49:47,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,I work for an observability vendor,Less than 6 months,"EMEA (Europe, Africa and the Middle East)",I am paid by my employer to contribute to the project either full time or part time,"I write or review code contributions, I write or review documentation","I am an OpenTelemetry member, I am a code owner, I am a triager","Specification: General, Collector, GoLang: SDK, Communications (Website, Documentation, etc.)"
2/17/2025 10:53:11,I am an OpenTelemetry user but I don't contribute to the project,I understand how my data will be used,,,,,,,
2/17/2025 12:29:58,I am an OpenTelemetry user but I don't contribute to the project,I understand how my data will be used,,,,,,,
2/17/2025 12:49:51,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,I work for a software vendor not primarily dedicated to observability,More than 2 years,North America,I contribute in a time or way not described by the other answers,"I write or review code contributions, I write or review documentation, I make other kinds of contributions",I am an OpenTelemetry member,"Kubernetes Operator, End-User SIG"
2/17/2025 13:59:36,"Yes, I have contributed to OpenTelemetry in the last year",I understand how my data will be used,I work for an observability vendor,More than 2 years,North America,I am paid by my employer to contribute to the project either full time or part time,I write or review code contributions,"I am an OpenTelemetry member, I am a code owner, I am an approver or specification sponsor, I am a maintainer, Technical Committee member or Governance Committee member","Specification: Logs, OpAMP, Collector"
