"Regarding the project organization, rate the following statements [I know how to get started contributing in any SIG]","Regarding the project organization, rate the following statements [The project's decision making processes are transparent]","Regarding the project organization, rate the following statements [The leadership of the SIGs I contribute to support me in my work]","Regarding the project organization, rate the following statements [I know the priorities suggested by the project leadership (TC and GC)]","Regarding the project organization, rate the following statements [It is easy for me to collaborate with other SIGs]","Regarding the project organization, rate the following statements [I find SIG virtual meetings useful]",When trying to contribute to a SIG... [I know how to contribute what I want],When trying to contribute to a SIG... [I know what proposals are likely to be accepted],When trying to contribute to a SIG... [I receive timely feedback about my contributions],When trying to contribute to a SIG... [I am ultimately able to solve problems for myself or my users],Have you ever interacted or had the need to interact with the Technical Committee or Governance Committee?,"Just to make sure, are you a maintainer of a SIG?",Does your GC liaison regularly check in with you?,I have autonomy when setting the direction of the subproject I own,About the amount of work to be done at the projects I maintain,I have interacted or had the need to interact with the Technical Committee,Rate the following statements related to the Technical Committee [The TC supports me in contributing to the project],Rate the following statements related to the Technical Committee [I understand the role the TC has in the project],Rate the following statements related to the Technical Committee [The TC selection process contributes to the success of the project],Rate the following statements related to the Governance Committee [I understand the role the GC has in the project],Rate the following statements related to the Governance Committee [The GC supports me in contributing to the project],Rate the following statements related to the Governance Committee [The GC selection process contributes to the success of the project],Do you work for an employer that financially supports you attending KubeCon + CloudNativeCon?,"I could attend a separate, dedicated OpenTelemetry contributors-only event if it happened in my region","If you have attended KubeCon + CloudNativeCon, have you participated in OpenTelemetry activities, including the OpenTelemetry Observatory, Contribfest or the maintainer track session?","Regarding the project organization, rate the following statements [I regularly attend SIG virtual meetings]","Regarding the project organization, rate the following statements [The project's decision making processes are thorough enough]"
Agree,Neutral,n/a,Agree,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Yes,Yes,Yes,4,"We are fully specification-compliant, but we still need to work on additional features",,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,"Yes, only if I am a speaker or do booth duty",2,More than once,Strongly agree,Strongly agree
Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Yes,No,,,,,Agree,Agree,Agree,Neutral,Neutral,Neutral,"Yes, only if expenses are under a budget",4,Once,Agree,Strongly agree
Strongly agree,Neutral,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,No,No,,,,,,,,,,,"Yes, only if I am a speaker or do booth duty",5,More than once,Agree,Agree
Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,Yes,Yes,5,,,,,,,,,"Yes, only if I am a speaker or do booth duty",4,Never,Strongly agree,Strongly agree
Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Strongly disagree,Disagree,No,Yes,I didn't know this was a thing,4,We are mostly specification-compliant and have plans to reach compliance,,,,,,,,"Yes, only if I am a speaker or do booth duty",4,Never,Agree,Disagree
Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Yes,No,,,,,Agree,Agree,Agree,Agree,Agree,Agree,"Yes, even if I am not a speaker or do booth duty",5,Never,Agree,n/a
Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,Neutral,Yes,Yes,Yes,5,All the SIGs I maintain do not do work related to the implementing the specification,,Neutral,Neutral,Neutral,Agree,Agree,Agree,"Yes, only if I am a speaker or do booth duty",5,More than once,Agree,Agree
n/a,,,n/a,n/a,,,,,n/a,No,No,,,,,,,,,,,"No, I don't have a way to get financial support from an employer for attending KubeCon + CloudNativeCon",5,Once,,
Disagree,Disagree,Strongly agree,Strongly disagree,n/a,Agree,Strongly agree,Neutral,Disagree,Strongly agree,No,No,,,,,,,,,,,"Yes, even if I am not a speaker or do booth duty",4,,Agree,Strongly disagree
Neutral,Agree,n/a,Neutral,Disagree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Yes,No,,,,,Strongly agree,Agree,Agree,Neutral,Neutral,Neutral,I am not sure or I don't know,5,,Neutral,Neutral
