Timestamp,How large is your engineering organization or department? ,What industry do you work in?,What type of team do you work on?,Do you work for an Observability or APM (monitoring) vendor?,Are you running OpenTelemetry in Production?,Where in your Observability journey is your organization?,Where did you get your day 1 information on getting started with OpenTelemetry? (Select all that apply),Do you use OpenTelemetry SDK directly or via vendor SDK of the languages you use?,What environments are you using the OpenTelemetry collector? (select all that apply),Which collector distribution do you use? ,What programming languages are you using with OpenTelemtery? (select all that apply),Which platforms are you running OpenTelemety on? (select all that apply),What kind of service do you regularly work on? (select all that apply),How complex was it to manually instrument your application with OpenTelemetry?,Did you encounter any issues when manually instrumenting your application?,How complex was it to get started with OpenTelemetry SDK? (skip if you don't use),Did you encounter any issues when installing OpenTelemetry SDK in your application? (select all that apply),How complex was it to get started with auto-instrumentation? (skip if you don't use),Did you encounter any issues when using auto-instrumentation in your application? (select all that apply),How complex was it to get started operating the OpenTelemetry Collector?,Did you encounter any issues when operating the OpenTelemetry Collector? (select all that apply or skip if you don't use a Collector),"What could be changed to improve the developer experience? For example:
- Installation of the SDK for the first time 
- Debugging instrumentation
- Setting up telemetry pipelines using the Collector
- Getting telemetry out of your application
- Configuring and using resource detectors
- Troubleshooting problems during SDK setup
- Configuring instrumentation
- Too difficult to adopt OpenTelemery for all signals (tracing, metrics, logs)"
12/13/2024 9:12:35,100-1000,Technology,DevOps,Yes,No,Intermediate - We are setting up an Observability practice,GitHub,Official OpenTelemetry SDK,Test/Staging,OTel Collector core (otel/opentelemetry-collector),"Go, Java, Python","Kubernetes, AWS, Azure, GCP, VMs",Operations/Infrastructure,3,Context Propagation,3,Documentation was unclear,2,Documentation was unclear,2,No issues,"- Troubleshooting problems during SDK setup

"
12/13/2024 9:21:04,50-100,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",AWS ADOT,"Go, Javascript/Typescript","AWS serverless environments (Lambda, Fargate, etc.), Vercel","Browser, Backend, Operations/Infrastructure",2,Documentation was unclear,1,Configuring SDK,,Configuring SDK,3,No issues,AutoInstrumentation for go
12/13/2024 9:24:39,>1000,Technology,Observability,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Go, Java, Python, Ruby, Rust","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.), GCP, GCP serverless environment (Cloud Run Functions, etc.), VMs","Backend, Operations/Infrastructure",3,Using Metrics API,2,"Installing instrumentation libraries and plugins, Debugging, Exporting data",3,"Installing plugins, Debugging, Exporting data",3,No issues,Easy documentation 
12/13/2024 9:25:09,>1000,Technology,Observability,Yes,No,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Official OpenTelemetry SDK,"Local, Test/Staging",OTel Collector-k8s (otel/opentelemetry-collector-k8s),"Java, Javascript/Typescript, Python, Ruby, Rust","Kubernetes, VMs","Mobile, Browser, Backend, Operations/Infrastructure",4,Enriching auto-generated telemetry,3,Installing instrumentation libraries and plugins,2,Installing plugins,1 (very easy),No issues,We need auto instrumentation for all technologies like java today .
12/13/2024 9:37:28,50-100,Healthcare,DevOps,No,Yes,Beginner - Learning about observability / Have used monitoring tools,"OpenTelemetry Website, GitHub",I don’t know,"Local, Test/Staging, Production",OTel Collector-k8s (otel/opentelemetry-collector-k8s),Java,Kubernetes,Operations/Infrastructure,3,Using Metrics API,3,Installing instrumentation libraries and plugins,3,Debugging,3,Using OpenTelemetry Collector Transforming Language (OTTL),Debugging
12/13/2024 9:48:16,0-50,Technology,Developer,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, Vendor documentation",Official OpenTelemetry SDK,"Local, Test/Staging, Production","Both OTel Collector core (local dev) and AWS ADOT (test, staging, production)",".NET, Javascript/Typescript","AWS serverless environments (Lambda, Fargate, etc.), Azure serverless environments (Functions, Azure Container Apps, etc.)","Backend, Operations/Infrastructure",2,Configuring logging bridge,2,Updating libraries that then fall outside of the instrumentation supported versions,,Not using,2,No issues,"Before the Apire dashboard, we found it hard to observe generated telemetry during local dev"
12/13/2024 9:50:32,50-100,Retail,SRE,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",Official OpenTelemetry SDK,Production,OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Javascript/Typescript","Kubernetes, VMs, Bare metal","Mobile, Browser, Backend, Operations/Infrastructure",2,Enriching auto-generated telemetry,2,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins, Debugging",1,"Documentation was unclear, Configuring SDK, Debugging",2,"Documentation was unclear, Configuring the processors","Unclear how to augment autoinstrumented metrics with custom attributes

Varying levels of compliance across different languages and frameworks"
12/13/2024 9:54:57,0-50,Finance,Developer,No,No,Expert - We have a well-established Observability practice,OpenTelemetry Website,Official OpenTelemetry SDK,We don’t use the OpenTelemetry collector,jaeger,Python,"VMs, docker","Browser, Backend",5,everything,5,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries and plugins, migration from jaeger",4,"Documentation was unclear, Too many steps required, Disabling specific instrumentation libraries, Configuring SDK, Installing instrumentation libraries, Debugging, Exporting data",4,"Documentation was unclear, Configuring the receivers, Configuring the processors, Configuring the connectors",more complete examples
12/13/2024 10:01:20,100-1000,Media,Platform Engineering,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub, Vendor documentation",Official OpenTelemetry SDK,Test/Staging,OTel Collector-k8s (otel/opentelemetry-collector-k8s),"Javascript/Typescript, Python, Rust","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.)","Backend, Operations/Infrastructure",3,"Many of them, this field should be multiple choice ",3,"Documentation was unclear, Too many steps required, Configuring SDK, Installing instrumentation libraries and plugins, Debugging, Exporting data",3,"Documentation was unclear, Too many steps required, Disabling specific instrumentation libraries, Configuring SDK, Installing instrumentation libraries, Installing plugins, Debugging, Exporting data",4,"Configuring the receivers, Configuring the processors, Configuring the connectors, Configuring to export to vendor, Using OpenTelemetry Collector Transforming Language (OTTL)","I think it’s very confusing to parse all the documentation, make sense of the different level of maturity for different SDKs, plugins etc if you are coming from a vendor proprietary implementation "
12/13/2024 10:08:22,0-50,Technology,Developer,No,No,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page",Official OpenTelemetry SDK,Local,OTel Collector-contrib (otel/opentelemetry-collector-contrib),Go,AWS,Backend,3,Context Propagation,3,Configuring SDK,,Configuring SDK,3,,K
12/13/2024 10:43:01,50-100,Finance,SRE,No,No,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub, Vendor documentation",Vendor OpenTelemetry SDK,Test/Staging,OTel Collector-contrib (otel/opentelemetry-collector-contrib),.NET,"Azure serverless environments (Functions, Azure Container Apps, etc.)","Browser, Backend, Operations/Infrastructure",3,Using Metrics API,2,Exporting data,2,Configuring SDK,3,"Configuring the receivers, Using OpenTelemetry Collector Transforming Language (OTTL)","Difficult to get good telemetry signals OOB without extensive configuration (transforming traces to metrics to cover basic metrics most observability agent vendors provide by default, easier sensitive data redaction)"
12/13/2024 11:03:49,0-50,Technology,Sales Engineering,Yes,No,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page, GitHub",Vendor OpenTelemetry SDK,Test/Staging,OTel Collector OTLP Distro (otel/opentelemetry-collector-otlp),"Go, Java, Python","Kubernetes, AWS, GCP, GCP serverless environment (Cloud Run Functions, etc.)","Backend, Operations/Infrastructure",3,Using Tracing API,4,"Too many steps required, Configuring SDK, Debugging",2,"Installing plugins, Debugging",3,"Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)",Troubleshooting problems during SDK setup
12/13/2024 11:23:02,>1000,Retail,Observability,No,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, GitHub",I don’t know,"Local, Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),"Go, Java, Javascript/Typescript, Python","Kubernetes, AWS, AWS serverless environments (Lambda, Fargate, etc.), GCP, GCP serverless environment (Cloud Run Functions, etc.), VMs",Operations/Infrastructure,3,Configuring logging bridge,3,"Documentation was unclear, Too many steps required, Configuring SDK",2,"Documentation was unclear, Disabling specific instrumentation libraries, Configuring SDK",2,"Configuring the receivers, Configuring the processors, Configuring the connectors, Using OpenTelemetry Collector Transforming Language (OTTL)",Getting telemetry out of your application
12/13/2024 11:48:59,>1000,Retail,Observability,No,Yes,Expert - We have a well-established Observability practice,"OpenTelemetry Website, Language implementation documentation page, Vendor documentation",Custom OpenTelemetry SDK,"Local, Test/Staging, Production",Custom build (ocb),".NET, Java, Python, Swift","Kubernetes, GCP, GCP serverless environment (Cloud Run Functions, etc.)","Mobile, Browser, Backend, Operations/Infrastructure",1,Documentation was unclear,1,Documentation was unclear,1,"Documentation was unclear, Configuring SDK, Installing instrumentation libraries",1 (very easy),Using OpenTelemetry Collector Transforming Language (OTTL),Improve code samples
12/13/2024 12:44:52,0-50,Finance,Observability,Yes,Yes,Intermediate - We are setting up an Observability practice,"OpenTelemetry Website, Vendor documentation",Official OpenTelemetry SDK,"Test/Staging, Production",OTel Collector-contrib (otel/opentelemetry-collector-contrib),".NET, Go, Java, Python","AWS, AWS serverless environments (Lambda, Fargate, etc.), VMs","Backend, Operations/Infrastructure",4,Documentation was unclear,3,"Documentation was unclear, Installing instrumentation libraries and plugins",1,Documentation was unclear,2,"Documentation was unclear, Configuring the processors, Configuring to export to vendor, Using OpenTelemetry Collector Transforming Language (OTTL)",Documentation most of all things
