Timestamp,How large is your organization?,What industry do you work in?,What type of team do you work on?,Do you work for an Observability or APM (monitoring) vendor?,Are you running OpenTelemetry in Production?,Where in your Observability journey is your organization?,What source do you primarily rely on when you're looking for information about OpenTelemetry? ,"If you selected ""Other"" in the preceding question, please tell us more here:",What features or information would you like to see added to https://opentelemetry.io/docs that aren't currently available?,"Would more visual aids (e.g., diagrams and screenshots) explaining OpenTelemetry concepts be helpful? ",How well do the current docs (at https://opentelemetry.io/docs) explain the different components of OpenTelemetry?,How straightforward and user-friendly are the installation instructions for OpenTelemetry?,How comprehensive are the troubleshooting sections?,How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [.NET],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [C++],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Erlang/Elixir],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Go],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Java],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [JavaScript],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [PHP],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Python],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Ruby],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Rust],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Swift],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Collector],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [Kubernetes],How would you rate your experience using the current OTel documentation for the following? (Please rate the ones that apply to you) [FaaS],Have you ever contributed to the OpenTelemetry documentation (https://opentelemetry.io/docs)?,"If you have not contributed to the OpenTelemetry docs, what is the top thing that has prevented or is preventing you from contributing to the docs?","If you selected ""Other"" in the preceding question, please provide the details here:","If you have contributed to the OpenTelemetry docs, how would you rate your experience?",Please provide further details about your experience contributing to the OpenTelemetry docs:,Are you interested in becoming an OpenTelemetry contributor/community member?,"If yes, are you aware of the process required to become a contributor?"
10/9/2024 4:46:53,>1000,Technology,Observability,No,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,Docs from the otelcol-contrib repo. Versioned docs for otelcol.,Yes,3,3,2,N/A,N/A,N/A,Great,N/A,N/A,N/A,Okay,N/A,N/A,N/A,Poor,Okay,N/A,No,Lack of time,,,,Yes,Yes
10/10/2024 3:02:12,>1000,Finance,Observability,No,Yes,Expert - We have a well-established Observability practice,Docs at opentelemetry.io,,"Open telemetry doc website lacks depth especially in terms of configuration. Had very hard time instrumenting .net applications via Otel with the limited set of information shared in the documentation. Need to keep juggling between Otel docs, third party website, cncf slack. Would be really helpful if detailed information with visual aid’s (screenshots) and video based examples (short videos embedded in the website)",Yes,2,2,3,Poor,Okay,Okay,Great,Poor,N/A,N/A,Okay,N/A,N/A,N/A,Poor,Okay,Okay,No,Lack of time,,,,Yes,Yes
10/10/2024 14:54:16,>1000,Technology,DevOps,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,Usage examples for libraries and better documentation for the new features,Yes,1,4,2,N/A,N/A,N/A,Poor,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Poor,N/A,N/A,No,I don't know how to do it,,,,Yes,No
10/18/2024 6:21:27,>1000,Technology,DevOps,No,No,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,More detailed information about instrumentation,Yes,4,4,2,N/A,N/A,N/A,Great,Okay,N/A,N/A,Great,N/A,N/A,N/A,Great,Great,N/A,No,Lack of time,,,,Yes,No
10/18/2024 9:53:36,100-1000,Technology,Dev,No,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,Storage,Yes,3,4,4,N/A,N/A,N/A,Great,N/A,N/A,Great,N/A,N/A,N/A,N/A,Great,Great,N/A,No,Having to sign the CLA,,,,Yes,No
10/18/2024 12:19:05,>1000,Healthcare,Dev,No,Yes,Expert - We have a well-established Observability practice,Docs at opentelemetry.io,,More examples and details og use cases. You want to do x then hete is hos you do it. No fuss.,Yes,2,3,1,N/A,N/A,N/A,N/A,Okay,Poor,N/A,N/A,Okay,N/A,N/A,Poor,Poor,N/A,No,Lack of time,,,,Yes,No
10/19/2024 0:49:23,0-50,Technology,Developer Relations,Yes,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,Better structure ,Yes,3,2,2,N/A,N/A,N/A,N/A,N/A,Okay,N/A,Okay,N/A,N/A,N/A,N/A,Okay,Poor,Yes,Lack of time,,3,It was unnecessarily complex to install the prerequisites to build and run locally. ,Yes,No
10/19/2024 13:47:29,>1000,Technology,Observability,No,Yes,Intermediate - We are setting up an Observability practice / Have used monitoring tools,OpenTelemetry code repositories,,Logs instrumentation docs are lack of examples.,Yes,4,3,4,Poor,N/A,N/A,N/A,Great,Great,N/A,Great,N/A,N/A,N/A,Okay,Okay,Okay,No,Lack of time,,,,Yes,No
10/21/2024 9:19:33,>1000,Travel & Leisure,Platform Engineering,No,Yes,Expert - We have a well-established Observability practice,OpenTelemetry code repositories,,"All Collector docs, and documentation on what telemetry a given instrumentation package will emit",No,4,4,2,N/A,N/A,N/A,Okay,Great,Okay,N/A,Poor,N/A,N/A,N/A,Poor,N/A,N/A,Yes,,,5,Reviews are super fast and always good feedback,Yes,Yes
10/21/2024 10:29:45,50-100,Technology,SRE,No,No,Intermediate - We are setting up an Observability practice / Have used monitoring tools,Docs at opentelemetry.io,,-,Yes,3,3,2,N/A,N/A,N/A,N/A,N/A,Okay,N/A,Okay,N/A,N/A,N/A,Okay,N/A,Okay,No,I don't know how to do it,,,,Yes,No
