"Timestamp","Where in your Observability journey is your organization?","What languages are you using in your organization? (Select all that apply.)","What resources do you wish you had when getting started with OpenTelemetry? (Select all that apply.)","What technologies are you using when setting up your observability journey? (Select all that apply.)","What part of the project is most important to you in your OTel journey? [Traces Specification]","What part of the project is most important to you in your OTel journey? [Metrics Specification]","What part of the project is most important to you in your OTel journey? [Logs Specification]","What part of the project is most important to you in your OTel journey? [Sampling Specification]","What part of the project is most important to you in your OTel journey? [Profiling Specification]","What part of the project is most important to you in your OTel journey? [Instrumentation APIs & SDKs]","What part of the project is most important to you in your OTel journey? [Collector]","What part of the project is most important to you in your OTel journey? [Operator]","What part of the project is most important to you in your OTel journey? [OTel Demo]","What part of the project is most important to you in your OTel journey? [Semantic Conventions]","What part of the project is most important to you in your OTel journey? [Auto-Instrumentation]","What part of the project is most important to you in your OTel journey? [LLMs]","What part of the project is most important to you in your OTel journey? [eBPF]","What part of the project is most important to you in your OTel journey? [Standardized Query Language]","What part of the project is most important to you in your OTel journey? [Security]","What part of the project is most important to you in your OTel journey? [Mainframes]","Anything else you wish to share with us?"
"2024/03/21 12:05:19 PM AST","Beginner - Learning about observability / Have used monitoring tools",".NET;Go;JavaScript","Detailed tutorials;Videos","Kubernetes;Serverless","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not important","Not important","Very important","Very important","Not important",""
"2024/04/01 7:33:33 AM AST","Intermediate - We are setting up an observability practice","C++;.NET;JavaScript","Comprehensive documentation;Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker;Virtual Machines","Very important","Very important","Very important","Not important","Very important","Very important","Very important","Very important","Not important","Not important","Very important","Not important","Not important","Very important","Very important","Not applicable",""
"2024/04/01 7:42:34 AM AST","Intermediate - We are setting up an observability practice",".NET;Java;JavaScript;Python","Comprehensive documentation;Detailed tutorials;Videos;Reference implementations for instrumentation;Reference implementations for collector deployment;Case studies","Kubernetes;Docker;Virtual Machines;Serverless","Very important","Very important","Very important","Very important","Very important","Not applicable","Very important","Not applicable","Not applicable","Not applicable","Very important","Very important","Very important","Not applicable","Very important","Very important",""
"2024/04/01 7:42:40 AM AST","Expert - We have a well-established observability practice","Erlang/Elixir;Go;Java;JavaScript;Python;Ruby;Rust","Comprehensive documentation;Detailed tutorials;Reference implementations for collector deployment","Kubernetes;Docker;Virtual Machines","Very important","Very important","Very important","Very important","Not applicable","Very important","Very important","Very important","Not applicable","Very important","Very important","Not applicable","Not applicable","Not applicable","Very important","Not applicable",""
"2024/04/01 7:44:14 AM AST","Intermediate - We are setting up an observability practice","Go;Java","Comprehensive documentation;Detailed tutorials;Reference implementations for instrumentation;Reference implementations for collector deployment;Case studies","Kubernetes","Very important","Very important","Very important","Very important","Not applicable","Very important","Very important","Very important","Not applicable","Not important","Very important","Not important","Not applicable","Very important","Very important","Not applicable",""
"2024/04/01 7:52:26 AM AST","Intermediate - We are setting up an observability practice","Scala","Comprehensive documentation;Blogs;Reference implementations for instrumentation;Reference implementations for collector deployment","Kubernetes;Docker;Bare Metal;Virtual Machines;Serverless","Very important","Very important","Very important","Not applicable","Not applicable","Not applicable","Very important","Very important","Not applicable","Very important","Very important","Not applicable","Not applicable","Very important","Very important","Not applicable",""
"2024/04/01 7:52:29 AM AST","Beginner - Learning about observability / Have used monitoring tools",".NET;JavaScript;Python","Comprehensive documentation;Blogs;Videos","Kubernetes;Docker;Bare Metal","Very important","Very important","Very important","Very important","Not important","Very important","Very important","Not applicable","Not applicable","Very important","Not important","Not important","Not important","Not important","Not important","Not important",""
"2024/04/01 7:54:11 AM AST","Intermediate - We are setting up an observability practice","Go","Comprehensive documentation;Detailed tutorials;Reference implementations for collector deployment","Kubernetes","Very important","Very important","Not important","Very important","Not important","Very important","Very important","Very important","Not important","Very important","Very important","Not important","Not important","Not important","Not important","Not important",""
"2024/04/01 7:57:28 AM AST","Beginner - Learning about observability / Have used monitoring tools","Go;JavaScript","Comprehensive documentation;Blogs;Case studies","Kubernetes;Docker","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not applicable","Not important","Very important","Very important","Very important",""
"2024/04/01 8:05:14 AM AST","Beginner - Learning about observability / Have used monitoring tools","JavaScript;Python","Comprehensive documentation;Detailed tutorials;Blogs;Videos;Reference implementations for instrumentation","Kubernetes;Docker","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Very important","Not applicable","Very important","Very important",""
