Timestamp,日本在住ですか？,どのようなチームで働いていますか？,日本のどの地域にお住まいですか？,御社の社員数はどのくらいですか？,どの業界でお仕事されていますか？,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？
12/4/2025,はい,プラットフォームエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/4/2025,いいえ,,,,,
12/8/2025,はい,セールスエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,はい
12/8/2025,はい,オブザーバビリティ,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/12/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,医療,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,DevOps,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,はい
12/12/2025,はい,DevOps,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,100-999,IT,はい
12/12/2025,はい,プラットフォームエンジニア,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,1-49,IT,いいえ
12/12/2025,はい,セールスエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,セールスエンジニア,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,はい
12/12/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/12/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,1-49,IT,いいえ
12/12/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/12/2025,はい,SRE,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,いいえ
12/12/2025,はい,開発,北海道,50-99,IT,いいえ
12/12/2025,はい,開発,中部（山梨、長野、新潟、富山、石川、福井、静岡、愛知、岐阜）,100-999,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,オブザーバビリティ,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,IT,はい
12/12/2025,はい,開発,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,100-999,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,100-999,IT,いいえ
12/12/2025,はい,開発,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,>1000,自動車,いいえ
