Timestamp,日本在住ですか？,どのようなチームで働いていますか？,OpenTelemetryについてどの程度ご存知ですか？,OpenTelemetryで収集するテレメトリーシグナルはどれですか？（該当するものをすべて選択してください）,どのコレクターディストリビューションを使用していますか？（該当するものすべてを選択してください）,仕事でどのプログラミング言語を使用していますか？（該当するものをすべて選択してください）,同僚にOpenTelemetryを推薦する可能性はどのくらいありますか？,OpenTelemetryを使用しない主な理由は何ですか？（該当するものをすべて選択してください） ,日本のどの地域にお住まいですか？,過去3年間、どのようなITコミュニティイベントに参加しましたか？（該当するものをすべて選択してください）,どのような形式のイベントが好きですか？,テクノロジー全般に関する情報は、普段どこから得ていますか？（該当するものをすべて選択してください）,御社の社員数はどのくらいですか？,どの業界でお仕事されていますか？,あなたはオブザーバビリティまたはAPM（監視）ベンダーで働いていますか？,OpenTelemetryプロジェクトについて何かご意見はありますか？
12/4/2025 19:38:11,はい,プラットフォームエンジニア,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,ほとんど利用しない,9,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, LinkedIn, Qiita, Zenn, 技術カンファレンス／ミートアップ, slack",>1000,IT,いいえ,
12/4/2025 23:03:20,いいえ,,,,,,,,,,,,,,,
12/8/2025 20:29:07,はい,セールスエンジニア,本番環境で使っている,"メトリクス, ログ, トレース, プロファイル","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Java, Javascript/Typescript, PHP, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, 初心者向けチュートリアル, 技術ディーブダイブ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, Qiita, Zenn, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,はい,
12/8/2025 22:08:40,はい,オブザーバビリティ,本番環境で使っている,"ログ, トレース","コアコレクター, Contribコレクター","Go, PHP",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス, ハンズオンワークショップ, ケーススタディプレゼンテーション, ネットワーキングイベント",対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",>1000,IT,いいえ,
12/12/2025 12:49:08,はい,SRE,本番環境で使っている,"メトリクス, トレース",Contribコレクター,"Javascript/Typescript, Kotlin",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,医療,いいえ,
12/12/2025 12:49:10,はい,開発,本番環境で使っている,"メトリクス, ログ, トレース",Contribコレクター,"Go, Java, Javascript/Typescript",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"KubeCon + CloudNativeCon Japan 2025, カンファレンス",対面イベントもバーチャルイベントもどちらも好きです,"GitHub, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ",100-999,IT,いいえ,
12/12/2025 12:56:20,はい,DevOps,本番環境で使っている,"メトリクス, トレース","Contribコレクター, OpenTelemetry Collector builder (OCB)を使ったカスタムビルド","Go, Javascript/Typescript, Scala",8,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,"カンファレンス, ネットワーキングイベント",対面イベント,"公式ドキュメント, GitHub, ブログ, Twitter/X, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,はい,
12/12/2025 12:57:33,はい,DevOps,本番環境で使っている,"メトリクス, トレース",OpenTelemetry Collector builder (OCB)を使ったカスタムビルド,"Go, Javascript/Typescript, Python, Scala",10,,近畿（三重、滋賀、京都、大阪、兵庫、奈良、和歌山）,カンファレンス,対面イベント,"公式ドキュメント, GitHub, ブログ, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",100-999,IT,はい,
12/12/2025 13:00:34,はい,プラットフォームエンジニア,本番環境で使っている,トレース,使っていない,"Go, Javascript/Typescript",10,,九州・沖縄（福岡、佐賀、長崎、熊本、大分、宮崎、鹿児島、沖縄）,カンファレンス,対面イベントもバーチャルイベントもどちらも好きです,"ブログ, Twitter/X, Zenn, YouTube, 技術カンファレンス／ミートアップ, 同僚／職場のコミュニティ, 書籍",1-49,IT,いいえ,
12/12/2025 13:00:59,はい,セールスエンジニア,テスト中／評価中,"メトリクス, ログ, トレース",ADOT,"Java, Javascript/Typescript, PHP, Python",10,,関東（茨城、栃木、群馬、埼玉、千葉、東京、神奈川）,ITコミュニティイベントには参加していない,対面イベントもバーチャルイベントもどちらも好きです,"公式ドキュメント, Qiita, Zenn",>1000,IT,いいえ,"言語ごとのZero Code計装の対応状況についても、どこかで一覧化されたDOCがあると便利に感じます。今は各言語ごとにLog/Metrics/Traceの対応表があると思うのですが、結局簡単でないと自分は使いこなせないので、Zero Code計装ができる言語くらいしか、お客様にご案内できないのです。

https://opentelemetry.io/ja/docs/languages/"
