Timestamp,1. How large is your organization?,2.  What industry do you work in?,3.  What type of team do you work on?,4.  Do you work for an Observability or APM vendor?,5.  Are you running OpenTelemetry in Production?,6.  Where in your Observability journey is your organization?,1. How many Collectors do you run in your organization?,2. Where do you deploy your Collectors? (select all that apply),3. What Kubernetes deployment scenarios do you use your Collectors in? (select all that apply),4. How do you deploy the OTel Collector on Kubernetes??,5. Do you build your own Collector distribution?,6. Do you use the OTel Collector Builder to build your own OTel Collector distribution?,7. How easy do you find it to build your own OTel Collector distributions with the Collector Builder?,8. Do you monitor your Collectors using internal Collector telemetry?,"9. If you monitor your Collectors, what telemetry do you collect when monitoring them? (select all that apply)",10. Which of the following Exporters do you use? (select all that apply),11. Which of the following Receivers do you use? (select all that apply),12. Which of the following processors do you use? (select all that apply),13. Which of the following connectors do you use? (select all that apply),14. Which of the following extensions do you use? (select all that apply),15. What kind of improvement would you most like to see for the Collector?,1. Have you used the Collector documentation on opentelemetry.io?,"2. Overall, how satisfied are you with the Collector documentation on opentelemetry.io?","3. If you could improve one part of the Collector documentation, what would it be and why?"
8/1/2025 14:46:09,1000+ employees,Travel & Leisure,Platform Engineering,No,Yes,Expert - We have a well-established observability practice,More than 1000,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,1,Yes,"Logs, Metrics",otlpexporter,"apachesparkreceiver, filelogreceiver, githubreceiver, hostmetricsreceiver, k8sclusterreceiver, k8seventsreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver, snmpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, metricstransformprocessor, resourceprocessor, spanprocessor, transformprocessor",spanmetricsconnector,"healthcheckextension, healthcheckv2extension, pprofextension, zpages","Stability, Configuration management and resolution",Yes,3,Docs for individual components in opentelemetry.io. Having to jump to GitHub to read about a specific receiver/processor/exporter is very time consuming.
8/1/2025 14:49:22,50-99 employees,Finance,Platform Engineering,No,Yes,Beginner - Learning about observability / Have used monitoring tools,Between 2 and 5,"Docker Compose, AWS ECS",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,,No,,"awscloudwatchlogsexporter, awsxrayexporter, debugexporter, loggingexporter, otlpexporter, otlphttpexporter, prometheusexporter","awscloudwatchreceiver, awsxrayreceiver, otlpreceiver","attributesprocessor, coralogixprocessor, dnslookupprocessor, filterprocessor, memorylimiterprocessor, spanprocessor",otlpjsonconnector,"healthcheckextension, sigv4authextension, zpages",Aws X-ray interoperability ,Yes,4,
8/1/2025 14:51:35,1000+ employees,Customer Experience,DevOps,No,Yes,Expert - We have a well-established observability practice,Between 11 and 100,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",via Helm using Terraform,No,No,,Yes,"Logs, Metrics","otlpexporter, otlphttpexporter",otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor, spanmetricsprocessor",spanmetricsconnector,"healthcheckextension, zpages","Stability, Collector observability",Yes,4,More detailed and better structured examples
8/1/2025 15:00:35,1000+ employees,Technology,Observability,No,Yes,Expert - We have a well-established observability practice,Between 11 and 100,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,Yes,Yes,3,Yes,"Logs, Metrics","alertmanagerexporter, awss3exporter, clickhouseexporter, elasticsearchexporter, kafkaexporter, loggingexporter, opensearchexporter, syslogexporter","awss3receiver, elasticsearchreceiver, filelogreceiver, hostmetricsreceiver, jmxreceiver, k8sclusterreceiver, k8seventsreceiver, k8slogreceiver, k8sobjectsreceiver, kafkametricsreceiver, kafkareceiver, kubeletstatsreceiver, otlpjsonfilereceiver, otlpreceiver, prometheusreceiver, syslogreceiver, tcplogreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, logdedupprocessor, logstransformprocessor, metricstransformprocessor","routingconnector, signaltometricsconnector","basicauthextension, oauth2clientauthextension, oidcauthextension","Support for more receivers or exporters, consistent signal support ",Yes,4,more tangible concrete examples 
8/1/2025 15:03:11,1-49 employees,Technology,SRE,No,Yes,Expert - We have a well-established observability practice,Between 11 and 100,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,No,No,4,Yes,"Logs, Metrics","otlpexporter, otlphttpexporter","filelogreceiver, otlpreceiver, sqlqueryreceiver","attributesprocessor, batchprocessor, deltatorateprocessor, filterprocessor, logstransformprocessor, memorylimiterprocessor, routingprocessor, tailsamplingprocessor","countconnector, routingconnector","filestorage, headerssetterextension",Stability,Yes,4,Otlp transform language tutorial and correlation 
8/1/2025 15:04:33,1-49 employees,Technology,Dev,Yes,Yes,Expert - We have a well-established observability practice,More than 1000,"Kubernetes, Virtual Machine (VM), Docker Compose","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",Other Helm Chart (e.g. vendor's),Yes,Yes,5,Yes,"Logs, Metrics","clickhouseexporter, otlpexporter, otlphttpexporter","filelogreceiver, otlpreceiver","attributesprocessor, batchprocessor, k8sattributesprocessor, memorylimiterprocessor, probabilisticsamplerprocessor, resourceprocessor, routingprocessor, spanmetricsprocessor","routingconnector, servicegraphconnector, spanmetricsconnector","healthcheckextension, pprofextension",Stability,Yes,5,Using OCB
8/1/2025 15:08:06,100-999 employees,Technology,Platform Engineering,No,No,Intermediate - We are setting up an observability practice,Between 101 and 1000,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",Other Helm Chart (e.g. vendor's),No,No,3,Yes,Metrics,"otlpexporter, prometheusremotewriteexporter","filelogreceiver, prometheusreceiver","batchprocessor, k8sattributesprocessor",na,filestorage,"Stability, documentation",Yes,2,
8/1/2025 15:22:56,100-999 employees,Finance,DevOps,No,Yes,Intermediate - We are setting up an observability practice,Between 2 and 5,"Docker Compose, Azure Container Instance",I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,,No,,otlpexporter,otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, spanprocessor",routingconnector,"healthcheckextension, zpages","Collector observability, Configuration management and resolution",Yes,4,Debugging and configuration management 
8/1/2025 16:00:44,100-999 employees,Finance,SRE,No,Yes,Beginner - Learning about observability / Have used monitoring tools,Between 6 and 10,Virtual Machine (VM),I don't deploy any Collectors to Kubernetes,I don't deploy the OTel Collector on Kubernetes,No,No,3,No,"Logs, Metrics, Traces",otlpexporter,"awscloudwatchreceiver, cloudflarereceiver, jmxreceiver, journaldreceiver",batchprocessor,countconnector,storage,Stability,Yes,4,
8/1/2025 16:54:56,1000+ employees,Hospitality,SRE,No,No,Intermediate - We are setting up an observability practice,Between 6 and 10,"Kubernetes, Virtual Machine (VM)","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Operator,Yes,Yes,1,Yes,"Logs, Metrics","kafkaexporter, loadbalancingexporter, otlpexporter, otlphttpexporter","collectdreceiver, filelogreceiver, githubreceiver, hostmetricsreceiver, journaldreceiver, k8sclusterreceiver, k8seventsreceiver, k8slogreceiver, k8sobjectsreceiver, kafkareceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, k8sattributesprocessor, logdedupprocessor, memorylimiterprocessor, redactionprocessor, resourceprocessor, routingprocessor, schemaprocessor, tailsamplingprocessor","countconnector, failoverconnector, routingconnector","basicauthextension, bearertokenauthextension",Configuration management and resolution,Yes,5,
