Timestamp,How many Collectors do you run in your organization?,Where do you deploy your Collectors?,What deployment scenarios do you use your Collectors in?,How do you deploy the OTel Collector on Kubernetes??,Do you build your own Collector distribution?,Do you use the OTel Collector Builder to build your own OTel Collector distribution?,How easy do you find it to build your own OTel Collector distributions with the Collector Builder?,How do you monitor your Collector?,Which of the following Exporters do you use?,Which of the following receivers from do you use?,Which of the following processors do you use?,Which of the following connectors do you use?,Which of the following extensions do you use?,What kind of improvement would you most like to see for the Collector?
1-31-2024 12:11:47,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Collector Helm Chart,No,No,2,Collector metrics,"debugexporter, otlpexporter","filelogreceiver, hostmetricsreceiver, k8sclusterreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver","batchprocessor, filterprocessor, k8sattributesprocessor, memorylimiterprocessor, transformprocessor",None,healthcheckextension,Stability
1-31-2024 13:07:59,More than 10,"Kubernetes, Virtual Machine (VM)","next to my application (i.e. k8s sidecar), As a gateway (i.e. k8s deployment)",OTel Operator,Yes,Yes,It's easy to use. I love it!,Collector metrics,"awscloudwatchlogsexporter, awsxrayexporter, loggingexporter, lokiexporter, otlpexporter, prometheusremotewriteexporter","gitproviderreceiver, hostmetricsreceiver, httpcheckreceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver, webhookeventreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor",spanmetricsconnector,"basicauthextension, bearertokenauthextension, healthcheckextension, sigv4authextension",Collector observability
1-31-2024 13:20:08,More than 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), In a stateful scenario (ie k8s statefulset)",OTel Collector Helm Chart,No,No,I don't use it,Collector metrics,"elasticsearchexporter, kafkaexporter, lokiexporter, otlpexporter","jaegerreceiver, kafkareceiver, otlpreceiver, zipkinreceiver","attributesprocessor, batchprocessor, filterprocessor, memorylimiterprocessor, redactionprocessor, tailsamplingprocessor",-,"basicauthextension, pprofextension",Collector observability
1-31-2024 13:24:55,Between 2 and 5,Virtual Machine (VM),"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment), I don't deploy any Collectors to Kubernetes",I don't deploy the OTel Collector on Kubernetes,Yes,Yes,It's easy to use. I love it!,Collector metrics,"debugexporter, fileexporter, influxdbexporter, loadbalancingexporter, otlpexporter, prometheusexporter, splunkhecexporter","filelogreceiver, filereceiver, hostmetricsreceiver, otlpreceiver, prometheusreceiver, syslogreceiver, vcenterreceiver, windowseventlogreceiver","attributesprocessor, batchprocessor, filterprocessor, groupbyattrsprocessor, memorylimiterprocessor, metricstransformprocessor, resourcedetectionprocessor, routingprocessor, tailsamplingprocessor",routingconnector,"healthcheckextension, pprofextension, storage",Configuration management and resolution
1-31-2024 13:25:28,Between 2 and 5,"Kubernetes, Development stack","On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",My own manifests,No,Yes,It's too hard to use!,I don't,"debugexporter, googlecloudexporter, googlemanagedprometheusexporter, lokiexporter, otlpexporter, prometheusexporter, prometheusremotewriteexporter","filelogreceiver, lokireceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, cumulativetodeltaprocessor, groupbyattrsprocessor, groupbytraceprocessor, k8sattributesprocessor, logstransformprocessor, resourcedetectionprocessor, resourceprocessor, tailsamplingprocessor",none,none,Stability
1-31-2024 13:29:00,More than 10,"Kubernetes, OpenShift",As a gateway (i.e. k8s deployment),OTel Operator,No,No,I don't use it,Logs,"lokiexporter, otlpexporter",otlpreceiver,"attributesprocessor, batchprocessor, k8sattributesprocessor, spanmetricsprocessor",spanmetricsconnector,basicauthextension,Configuration management and resolution
1-31-2024 13:29:11,More than 10,"Kubernetes, Bare Metal",On every host (i.e k8s daemonset),OTel Collector Helm Chart,No,No,I don't use it,I don't,"otlpexporter, prometheusexporter","filereceiver, k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, mongodbreceiver, otlpreceiver","attributesprocessor, batchprocessor",none ?,basicauthextension,Stability
1-31-2024 13:34:49,More than 10,Kubernetes,next to my application (i.e. k8s sidecar),OTel Operator,No,No,It's too hard to use!,Logs,elasticsearchexporter,elasticsearchreceiver,"batchprocessor, filterprocessor",spanmetricsconnector,encoding,Stability
1-31-2024 13:35:37,More than 10,Kubernetes,As a gateway (i.e. k8s deployment),OTel Collector Helm Chart,Yes,Yes,It's easy to use. I love it!,"Logs, metrics, healthchecks, experimenting with some custom tracing","kafkaexporter, otlpexporter",otlpreceiver,"attributesprocessor, batchprocessor, filterprocessor, k8sattributesprocessor, redactionprocessor, spanmetricsprocessor, transformprocessor","countconnector, routingconnector, spanmetricsconnector",headerssetterextension,Collector observability
1-31-2024 13:36:33,Between 5 and 10,Kubernetes,"On every host (i.e k8s daemonset), As a gateway (i.e. k8s deployment)",OTel Operator,No,No,Meh,Collector metrics,"debugexporter, otlpexporter","k8sclusterreceiver, k8seventsreceiver, k8sobjectsreceiver, kubeletstatsreceiver, otlpreceiver, prometheusreceiver","attributesprocessor, batchprocessor, groupbyattrsprocessor, k8sattributesprocessor, memorylimiterprocessor, redactionprocessor, transformprocessor",none,"healthcheckextension, pprofextension",Stability
