Timestamp,Do you use OpenTelemetry in production for metrics?,Where do you store your metrics primarily?,What type of team do you work on?,Do you collect infrastructure metrics?,How do you instrument infrastructure metrics collection? (choose all that apply),Do you collect application metrics? ,How do you instrument application metrics collection? (choose all that apply),What do you use to process or transform metrics data before you send it to storage? (choose all that apply),How easy or difficult is it to use OpenTelemetry and Prometheus together?,What would you like us to improve to make OpenTelemetry and Prometheus work better together?  (optional),What industry do you work in?,Where in its observability journey is your organization?,How large is your organization?,Do you work for an observability or APM (monitoring) vendor?,Are you a Prometheus or an OpenTelemetry maintainer?
3/24/2026 11:55:50,"Yes, I use both OpenTelemetry & Prometheus",AWS Prometheus,Platform Engineering,Yes,"OTel receivers, Prometheus exporters",Yes,"OTel SDKs, Prometheus SDKs","Nothing, it goes to storage right away",Neither easy nor difficult,We do not use both together. Honeycomb do tracing and Prometheus for alerts ,Technology,Expert - We have a well-established observability practice,1-49 employees,Yes,
3/24/2026 16:22:57,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Platform Engineering,Yes,"OTel receivers, Prometheus exporters, Built in /metrics endpoint (without exporter)",Yes,Prometheus SDKs,"Prometheus relabeling rules or record evaluations, Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Intermediate - We are setting up an observability practice,100-999 employees,Yes,
3/24/2026 16:41:29,Yes,I don’t know,,,,,,,,,,,,,
3/24/2026 18:08:42,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,Yes,Prometheus exporters,Yes,Prometheus SDKs,Prometheus relabeling rules or record evaluations,Neither easy nor difficult,,Technology,Expert - We have a well-established observability practice,1000+ employees,No,
3/24/2026 18:13:55,Yes,Prometheus,Platform Engineering,Yes,"OTel receivers, Prometheus exporters",Yes,OTel SDKs,"Open source OTel Collector (core, contrib)",Somewhat easy,,Technology,Beginner - Learning about observability / Have used monitoring tools,100-999 employees,No,
3/24/2026 18:16:09,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Dev,Yes,"OTel receivers, Prometheus exporters, Built in /metrics endpoint (without exporter)",Yes,"OTel SDKs, Prometheus SDKs","Prometheus relabeling rules or record evaluations, Vendor distribution of OTel Collector",Neither easy nor difficult,"Resource Attributes Entity, Conversion spec up to date, Prometheus exporter Vs receiver, Semconv use by Prometheus",Technology,Expert - We have a well-established observability practice,1000+ employees,Yes,
3/25/2026 12:43:37,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",Operations,Yes,"OTel receivers, Prometheus exporters, Built in /metrics endpoint (without exporter), Built in OTLP push",Yes,"OTel SDKs, Prometheus SDKs","Open source OTel Collector (core, contrib)",Very easy,,Other,Intermediate - We are setting up an observability practice,100-999 employees,No,
3/25/2026 13:12:53,Yes,"Open-source Prometheus backend (Thanos, Cortex, Grafana Mimir)",SRE,Yes,"OTel receivers, Prometheus exporters",Yes,"OTel SDKs, Self instrumemtation, manual instrumentarion for OTEl","Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - We are setting up an observability practice,100-999 employees,No,
3/25/2026 13:53:25,Yes,Prometheus-compatible (or PromQL compatible) backend from a vendor,Dev,Yes,Built in OTLP push,No,,"Open source OTel Collector (core, contrib)",Neither easy nor difficult,,Technology,Intermediate - We are setting up an observability practice,50-99 employees,Yes,
3/25/2026 14:05:45,Yes,Clickhouse,,,,,,,,,,,,,
